sitename,Country or Area Name,Full Address,Latitude,Longitude,locationId,sensorId,country,sensorType,displayName,sensor_name,sensor_unit,lastUpdated,PROJECT_NAME,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,New Station,Parameter,Value,utcoff
Beograd_17,Serbia,Beograd Ada petlja,44.79134339,20.42560078,784130.0,4276147,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.79134339,20.42560078,,100154,,,,
Beograd_18,Serbia,Beograd Ada Marina,44.790166,20.4169,784129.0,4275917,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.790166,20.4169,,100155,,,,
TatabÃ¡nya SÃ¡gvÃ¡ri u.,Hungary,TatabÃ¡nya SÃ¡gvÃ¡ri u.,47.56325,18.4087,783942.0,4273129,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,551,636,,47.56325,18.4087,,100156,,,,
NakÅ‚o nad NoteciÄ…,Poland,"NakÅ‚o nad NoteciÄ…, ul. Åšw. WawrzyÅ„ca",53.136681,17.591539,60180.0,1331070,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,574,633,,53.136681,17.591539,,100157,,,,
Point Cook,Australia,Point Cook,-37.9263153,144.7567,10766.0,35938,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,209,1040,,-37.9263153,144.7567,,100158,,,,
Budapest ErzsÃ©bet tÃ©r,Hungary,Budapest ErzsÃ©bet tÃ©r,47.498948,19.051903,783939.0,4273175,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,551,638,,47.498948,19.051903,,100159,,,,
DunaÃºjvÃ¡ros,Hungary,DunaÃºjvÃ¡ros,46.965924,18.935198,783931.0,4272911,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,549,638,,46.965924,18.935198,,100160,,,,
Traralgon,Australia,Traralgon,-38.1942825,146.531464,10771.0,35974,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,208,1046,,-38.1942825,146.531464,,100161,,,,
Oslo_3,Norway,Spikersuppa,59.914051,10.735978,221402.0,1287322,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,601,611,,59.914051,10.735978,,100162,,,,
Budapest Gergely utca,Hungary,Budapest Gergely utca,47.466982,19.157219,783927.0,4273177,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,551,638,,47.466982,19.157219,,100163,,,,
KecskemÃ©t,Hungary,KecskemÃ©t,46.90234,19.68875,783926.0,4272922,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,549,640,,46.90234,19.68875,,100164,,,,
VÃ¡rpalota,Hungary,VÃ¡rpalota,47.20167,18.143025,783924.0,4273285,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,550,635,,47.20167,18.143025,,100165,,,,
Budapest Gilice tÃ©r,Hungary,Budapest Gilice tÃ©r,47.43,19.18111,783920.0,4272993,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,551,638,,47.43,19.18111,,100166,,,,
VeszprÃ©m,Hungary,VeszprÃ©m,47.089574,17.905054,783914.0,4272937,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,549,634,,47.089574,17.905054,,100167,,,,
Budapest KÅ‘rakÃ¡s park,Hungary,Budapest KÅ‘rakÃ¡s park,47.544291,19.144177,783913.0,4272760,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,551,638,,47.544291,19.144177,,100168,,,,
Kazincbarcika,Hungary,Kazincbarcika,48.247033,20.61445,783899.0,4273147,HU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,554,643,,48.247033,20.61445,,100169,,,,
è‡ºä¸­å¸‚,"Taiwan, Province of China",è‡ºä¸­å¸‚ - å¿ æ˜Ž,24.151958,120.641092,10774.0,36085,TW,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,458,963,,24.151958,120.641092,,100170,,,,
Warszawa_2,Poland,"Warszawa, ul. ChroÅ›cickiego",52.207742,20.906073,10775.0,35993,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,570,644,,52.207742,20.906073,,100171,,,,
Warszawa_3,Poland,"Warszawa, al. NiepodlegÅ‚oÅ›ci",52.219298,21.004724,10776.0,36162,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,570,644,,52.219298,21.004724,,100172,,,,
Oslo_4,Norway,Manglerud,59.89864,10.8149,10777.0,35998,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,601,612,,59.89864,10.8149,,100173,,,,
